r_id,t_id,l_id,City,Rating,Review
4669540,24132,42,Kolkata,5,Savitri ji temple is located at a great height . There are 2 ways to get there steps or roapway . The steps are very steep and the roapway is a better method but not for the weak hearted . The temple is good and...
3417897,24132,42,Kolkata,5,"Thank you for your feedback. We wish to welcoming you again.
Kindly also share your experience with your friends and family."
7599687,24132,42,Kolkata,4,Rope way is good option if you not going to via stairwe see whole pushkar from the top of savitri temple and rope way charge a 92 rupees for both way per person.
1575479,24132,42,Kolkata,5,"One of the hidden attractions of this area,80 rupees up to the best view of Pushkar,don't miss,there is a temple at the top,but the 360 degree views are stunning."
4444876,24132,96,Alappuzha,3,Stroll along the beach in the evening with the locals. Travel by the local auto about 50 rupees and above depends where you stay.But ask the price first.
3075303,10677,96,Alappuzha,5,Good beach but do not plan your month of visit during Monsoon as water appears black during these days. Rest everything else is great
1929556,53783,96,Alappuzha,4,"This is an extensive beach, relatively clean, there are a few cafes in the centre, but if you walk to either end of the beech there is nothing at all so take water with you. We visited in May and the waves were quite high..."
9657576,42928,96,Alappuzha,3,"Not a nice beach to visit, very hot and humid climate with burning waste every 5 minutes. Hardly any beach shack to have breakfast in."
8056123,33564,96,Alappuzha,4,Very good place. Sun rice and sun set point available here we will see that at morning and evening time.
1474024,24132,127,Alibaug,2,I would call this as average place. Not many options to stay and dine around. Hardly any water sport available at the beach. The water was polluted & black in color when we visited. However that was temporary. The natives told us that normally water...
7499924,10677,127,Alibaug,4,"Akshi beach is extended part of Nagaon beach on the north side. Beach is less visited hence less crowded and clean. You can see Alibag beach, Kolaba fort from Akshi beach. On the north end, a lot of fishing boats are available. A Good place..."
4363700,53783,127,Alibaug,4,"This is a very lonely beach, no water sports and food sport available, if you don't want water  sports then it is a good and very safe beach near by Alibag."
7020205,42928,127,Alibaug,5,"I have been to this beach many times ... It's beautiful and peacelul if u visit this beach in weekdays as during weekends many people makes it crouded ...
Weekdays afternoon one can visit this place during high tide and can enjoy the peacelul winds..."
8230692,33564,127,Alibaug,4,Akshi Beach is situated in Alibagh Maharashtra India. it is very good and clean beach. it is very close to Nagaon
2038774,24132,192,Aligarh,5,I had always seen it from outside but always feel blessed to b there. It's having  majestic view when in the night it have flash lights on it. Specially recommended to visit in evening for beautiful view.
6638212,10677,192,Aligarh,3,The jama masjid of aligarh is the largest mosque of the city and situated at highest point in aligarh.
6126466,53783,192,Aligarh,4,good example of muslims architecture. peaceful. well maintained.must be visited by all visitors to Aligarh.
8499639,42928,192,Aligarh,5,"If you enjoy visiting masjids or have an interested in masjid architecture this is a must-visit masjid on Aligarh's campus. This is the first masjid I've seen with what appears to be stained glass decoration. Like Jama Masjid in Delhi, this is a wall masjid...."
3582465,33564,192,Aligarh,5,Good Fort but it is in a bad shape / crumbling as neither the tourism not archaeological ministries take care of the fort. Now has become a lover's spot
1599746,24132,187,Allahabad,3,This tree situated within the fort has survived for centuries and resisted many attempts by Moghul rulers and armies for destruction. It is evergreen and flourishing even now. It is inside the fort which is under army control. It is only recently opened to the...
7181125,10677,187,Allahabad,5,"Located inside the Allahabad Fort walking distance from Sangam Ghat. There was a long queue and it took us about two hours for visiting this place. There are army people to guide you the way. This was truly an amazing experience. Photography is prohibited, but..."
1146755,53783,187,Allahabad,4,"we visited the army protected fort during our tour to sangam.The tree is inside the fort and is believed to be hundreds of years old, but all the leaves are still green."
4941958,42928,187,Allahabad,5,"I went to Akshaya Vat. Located inside the Allahabad Fort complex in Patalpuri Temple, Akshaya Vat or Akshayvat is an ancient fig tree. Only on a single day during the Kumbh Mela festival, this sacred site is open for public visits. It is great place..."
9490794,33564,187,Allahabad,3,This is an old Banyan tree situated in Allahabad Fort. Patalpuri Temple is also there. The tree is holy as per Hindu Mythology. You will find many people doing Puja there.
9369488,24132,175,Almora,5,"Very close to the temple complex. Brilliantly maintained and guarded. Desolate, as expected. No entry fee. Very, very good collection of small figurines from 10th to 13th century. Not only the deities, look for the refinement and emotion in the faces of ordinary hill people.You..."
6676592,10677,175,Almora,4,"about 20 mins from the jageshwar temple complex next to the parking area, this museum houses figurines and idols of gods and goddesses excavated from jageshwar. the three galleries is a treasure trove of those finds and is a must visit. the government has maintained..."
6221624,53783,175,Almora,4,Make a quick stop for a lesson in history and get marveled looking at the gorgeous idols of 8th & 9th century on display.
6350008,42928,175,Almora,5,Awesome collection and really great storage by the Archaeological team.. Worth visiting. Near the temple
1783376,33564,175,Almora,4,"This Location is Appropriate location for the museum. Right beside the Temple Complex. Once we visit the temples; we can visit this museum on way back.
There are Ancient Idols Of Shiva and Parvati, Vishnu, Ganesh, Laxmi, Kartikeya and other Gods and goddesses. 
These original..."
3344543,24132,148,Amarkantak,4,The temple is famous for 11 feet high Shiv Linga.. special feature of this place is 11feet high shivling.
9221173,10677,148,Amarkantak,3,The temple is famous for 11 feet high Shiv Linga. It's still under construction. It is a representation of all 12 Jyotirlingas at one place.
9870619,53783,148,Amarkantak,4,The temple has nothing different except for having a huge shiv ling (11Ft). It is in a remote location about 8 km drive from the main city of Amarkantak
2492158,42928,148,Amarkantak,4,"It is a Shiva temple with easy access to sanctum where a long deity is placed. I visited it in month of Shravan, month which is pious for worshiping Shiva. So it was little crowded. It is noteworthy that replica of all famous Shiva Lingas..."
3740816,33564,148,Amarkantak,3,"this temple is under construction but almost completed. this is a very holy palace because there are 12 jyotirlinga with 11 feet long shiv linga. all 12 jyotirlinga situated separately. 11 feet shiv linga made by a single black stone.you can do ""abhishek"" by upper..."
4535246,24132,254,Amravati,5,When in Amravati one should make a point to visit this place. The place remains closed on public holidays and during festival period. So one should make sure before going to this place as its little away from Amravati. The forest department has created wonders...
3895627,10677,254,Amravati,5,"Its a very good place to take your family, nicely done garden, mostly using bamboo. All the playing activity are made of bamboo, which makes everyone tempted to try, no matter what you age. there is a cactus garden at the end of the  garden...."
8516665,53783,254,Amravati,5,It's a unique and beautiful place for weekend short trip.There are various types of bamboo trees and things made from bamboo. There is also a beautiful cactus garden.
2547240,42928,254,Amravati,4,"It's the unique type garden devp.by forest department to educate the people,the importance of use of various species of bamboo.
Also visit Cactus Garden one of its kind."
5448093,33564,254,Amravati,5,"If you are in Amravati and looking to hangout with friends for couple of hours, this place can be a good option.
Can be improved a lot on commercial basis."
9425700,24132,92,Amritsar,4,This is the Temporal Seat of the Sikh faith.Has a long history behind it.Located adjacent to the Sri Harminder Sahib ji.
9871516,42928,92,Amritsar,5,"Just opposite the golden temple, I found this was the best place to sit in peace and was more space available earlier in the morning, very peaceful and respected place, open all day everyday with regular prayers and singing, must visit, beautiful building and interior,..."
7965244,10677,92,Amritsar,5,"Akal Takhth is - Timeless Throne.

It is a 5 storied building that is directly opposite to the entrance of Harmandir sahib/Golden Temple. 

It is one of the 5 Supreme Takhts of Sikhs. The building is beautifully made,

The stone of this building was laid..."
6706649,33564,92,Amritsar,5,"Blessed Very nice, & Relaxing feeling. Landed at Amritsar at 22.00pm. Stayed at hotel.
Next day 04.00am visited Golden Temple  & Anandpur Sahib by hotel car. Back to hotel.
Day-3 early start at 04.00am Car hire from online search to Damdama Sahib & drop off..."
6272001,53783,92,Amritsar,5,I visited Akal Takht on 27th March 2019 evening. Really feeling blessed. The place is so peaceful and so beautiful can't be described in writing. Must see the place
5839238,24132,252,Anantapur,4,"Eye catching temple is just on the side of N H 7 near Ananthpura, Huge horses in front of the temple gives it a look of chariot of sun. The well-landscaped gardens makes it even more attractive . Must visit place if you are travelling..."
3186379,10677,252,Anantapur,5,It is the beautiful temple in the city anantapur.this temple is nice for couples and friends.inside the temple peaceful environment and everyone spend in that temple for an hour.so everyone must see the temple.
9733058,53783,252,Anantapur,5,I have visited this temple many times with my family and friends... Really amazing and beautiful place in Anantapuramu. Really very good place to visit in Anantapur..  Should not miss it..
7573768,42928,252,Anantapur,5,"Nice lighting and magnificent looking while lit up. Not really great to visit during day time.

As with ISKCON, quite a structure and for a place like Anantapur easily this is the largest place of worship.

Adjacent to Hyderabad-Bangalore highway, this is bit away from..."
1915399,33564,252,Anantapur,4,Recently went to temple with Family and the atmosphere was very pleasant.If you are on the Bangalore-Hyderabad highway means you can stop here and get some refreshment and spiritual feel.
3031441,24132,200,Anantnag,5,"Shree Amarnathjee Yatra 
Going for the Yatra itself, was so exciting and nothing else other than taking warm clothes and going there crossed the mind, 
 
I had an excellent Darshan which will remain memorable for life long, 
 
The ice Lingams were fascinating and Shivling was..."
1062279,10677,200,Anantnag,4,"words are not enough for this yatra, once in lifetime, we must must go to this divine place.
4 days are minimum for this yatra"
5035227,53783,200,Anantnag,4,I visited Amaranth 2 times .in 2016 and also in 2017.I trekked through both routes like via pehalgam and baltal
2082145,42928,200,Anantnag,3,"For notifications: start looking from february.
Release of dates, doctors list: march
Mandatory documents: medical certificate, permit from bank mentioned in the publication, either for pahlgam or baltal.

If you dont have medical certificate then you can go to hospital in srinagar near budgam railway..."
7764841,33564,200,Anantnag,5,"Very divine place , it’s heaven on earth ...
Lush green hills .. snow covered mountains and splashing falls crystal clear river water fresh air touch the heart"
9690847,24132,173,Auli,5,"This was kind of first meadow I have been to... We trekked for an Km approximately... Place was beautiful but the best part was the tinkling sound of bells which were tied to cows and horses neck

Though it was just an hour trek we..."
6345664,10677,173,Auli,2,"We started from Haridwar & took government bus till Joshimath. We reached bus stand at around 5AM & bus started at around 6.30. Reach early to get a sit. Otherwise, it would be tough to complete 11-12 hours journey.

After Srinagar, road was pathetic &..."
3281688,53783,173,Auli,5,It is a must do trek for people visiting this area. We came here for valley of flowers and added this trek as a part of trip. Nice green meadows with beautiful clouds.
3359205,42928,173,Auli,4,Visited in June.area full of flowers n covered with green carpet surrounded by lush green forest.1hr trek easy but beautiful.small forest area on the way initially w afraid of animal as v r alone r by mistake taken another rout but ringing bells from temple...
8879872,33564,173,Auli,5,We trekked to Gorson Bugyal during our stay at Auli. It's a easy treks and offers a fabulous view. You will take an hour to reach there and will get a fabulous view of mountain tops. Worth the hike
5098791,24132,180,Joshimath,4,Awsome museum to visit with your family. It gives a glimpse of your past history. Not a popular tourist destination but was fun to visit.
8462401,10677,180,Joshimath,5,"The museum give a glimpse into the past of the culturally rich Bhotiyas of Indo -Tibetan border region. It is astonishing to see the instruments used for weaving carpets, how beautiful, colorful designs are woven. The old plough and other handmade instruments and equipment used..."
1352689,53783,180,Joshimath,3,I visited this place solo and it was not bad to visit. Best thing was it was not the main tourist destination so the crowd was very less.
1248844,42928,180,Joshimath,5,I visited this place and found it fine. There were not many tourists so it was good. Could be better.
2081890,33564,180,Joshimath,5,it was amazing ride..had a great view from the top..had also done the chair car..it was fun get n this gandola
1815475,24132,124,Aurangabad,4,it is last stay of a great king of India. He lived simple life and you also see the reflaction in his dargah.
3748791,10677,124,Aurangabad,4,"Its said that amongst all Mughal emporers, Aurangzeb was the one who believed in simplicity and was not keen on emptying state coffers for creating grand structures. His tomb epitomises his beliefs. As per his wish his tomb lies like one of a poor man..."
3159770,53783,124,Aurangabad,4,i visited the dargah 3 times in two years.very nice place to go and do some prayers.So many foreign tourists are also coming here to visit the dargah.
9976024,42928,124,Aurangabad,4,"Quite unlike the other mughal emperors, Aurangzeb's tomb is simple, open to sky and austere. The lattice works were later added by Clive and goes well with the surroundings. There are people who explained to us the significance of the place. Quite liked it."
1908293,33564,124,Aurangabad,5,I really liked the way they have maintained this place. The people there were very friendly and guided us around. Each of them were very narrative in telling us the story. Many people's wishes have come true here
9953114,24132,288,Auroville,2,"Curiosity brought us to Auroville, but didn't know what to do or see here. The Visitor's Centre is invaluable from that perspective, as in it gives you the complete low-down on Auroville and what makes the place tick.
The staff at the centre are very..."
2347934,10677,288,Auroville,4,"The shops selling Handicrafts and Auroville souvenirs are super expensive ( more than twice what is a normal high price ) . There are thousands of Indian customers who simply browse without buying . They should try lowering prices , with higher volumes . Unless..."
9972001,53783,288,Auroville,3,This is where all the visitors who are not residents need to go. This is the starting point where there are video sessions and gallery to inform you about the purpose and mission of Auroville and The Matri Mandir. It is also the place where...
1131430,42928,288,Auroville,5,Me and Mom went to visit Matri Mandir and the first line of support at Auroville were the front help desk. The lady was very sensitive about my Mom's age and was repeatedly asking if she needs a shuttle service. This was a very good...
1868492,33564,288,Auroville,3,You need to come here and enter Auroville further.. for Matrimandir take a slip and see the view by walking 3 kms.. it is a waste of time. I do not see any value
9775661,24132,185,Ayodhya,4,A very peaceful and well maintained temple in Ayodhya. It is said that Mata Kakai gifted this palace to Ramji and Sitaji as muhdikhai after there marriage. One can see wide walls and historical chitarkari and wall paints.
1913544,10677,185,Ayodhya,4,This is a very well maintained and peaceful temple. We went there with our family and friends and its was a unforgettable experience.
8059425,53783,185,Ayodhya,5,"It was the only attraction which you can say was worth visiting Ayodhya after a dip on divine river Sarayu. Old architecture, clean, well managed but the way to it needs improvement."
5730317,42928,185,Ayodhya,5,"It was a best place in Ayodhya. Very peaceful and no queue and no beggers. Deities were so beautifully dressed, hard to blink. The palace was gifted to Sitamata by kaikeyimata. It was originally made of gold thats why it was named KANAK BHAVAN."
7784242,33564,185,Ayodhya,4,This mythological temple is very famous among locals & one of the best temple to visit in Ayodhya. It is said that Mother Kaikayi (Mother of Shri Ram Prabhu) had gifted this place to her Daughter In-law (Maa Sita).
2436757,24132,116,Badami,3,The lake is quiet and located close to Badami town center. You can go around the lake and visit Bhutnath temple. Not the cleanest of lakes but relatively well maintained. You can visit lake around sunrise/sunset
4977934,10677,116,Badami,4,"Lake near to Badami caves.
The view of the lake and surrounding temples is beautiful from  3rd and 4th cave."
3770032,53783,116,Badami,3,"This is a big lake being surrounded by hills, Badami Fort,  Bhuthanath temple and rock caves . All these are situated at the periphery of the lake. The lake is bit dried up at the moment as its peak summer season. Only the part of..."
8332980,42928,116,Badami,3,The lake is an important point of interest in Badami. The approach to the lake is through narrow lanes (beware the kids). One has to park near the main road or at the entry to the cave temples (advisable as it is a proper pay...
1801597,33564,116,Badami,4,"It is blend of green water, light brown rock... 360 degree panaromic view... whoever interested in landscape photography... this is the site for you"
2333095,24132,174,Badrinath,4,Bheem Pul is situated at the last portion of Mana village where water is coming out gorgeously. The place is just on walking (slightly ups and downs). Surroundings are only Himalayas and clouds.
8819619,10677,174,Badrinath,3,Must visit place.no fee.acc to Mahabharata story during journey to swarg Bheem made this stone bridge for Draupadi.roaring sound of saraswati can be hear n felt
6632951,53783,174,Badrinath,4,There is a story in Mahabharata that at the end of the life Pandavas wanted to find a path to go to heaven so they came to Badrinath and from there proceeded to find the way on the way they could not cross the river...
3103023,42928,174,Badrinath,3,Situated 1 KM from MANA village Mana village is 3 KM from badrinath thereafter need to track almost 1 km. It's the way on which 5 Pandav moved in search of heaven and it is said that lost their life in a span of 15...
4060080,33564,174,Badrinath,3,"Visited this place after finishing my Chardham yathra. It's located in mana, the last village of India"
7495895,24132,234,Balasore,4,Virgin mangrove forest and confluence of subarnarekha river surfing with speed boat. In this 1 hour journey you can go through rich flora and fauna and also may locate some rare species. And you can see confluence of subarnarekha river with bay of bengal. But...
5311206,10677,234,Balasore,5,"Exactly what we said was RELAXING. We went just to relax ourselves from our day to day activity. We loved the silent evening of the village, the roaring sound of the sea (though sea plays hide and seek) and the cool gush of wind releasing..."
4816181,53783,234,Balasore,5,In summer Chandipur beach is perfect place to spend time with friends and family members in evening.
6259516,42928,234,Balasore,4,Its a flat mud plain where the sea receed up to 3 kms inwards during lowtide and another 3 kms forwards during high tide. Wonderful to have a stroll on the mud flat during low tide. The ground is so compacted you can walk without...
6588381,33564,234,Balasore,5,"The beach is very good for the travelers who like less crowded places, though the  mesmerizing beauty of  sea waves are absent. Long  morning and evening walk  in search of sea with few numbers of fellow traveler can provide you the refreshing memories."
7998051,24132,121,Bandipur,3,"We visited Bandipur twice. In total, we went on two bus safaris and two Jeep safaris. 
On the whole we spotted Eagles, Woodpeckers, Peacocks, Owls, Bee-eaters, Deer, Sambars, Langurs, Boar, Elephants, Gaurs, a monitor lizard, a tigress with cubs (from very very far away), a..."
7750123,10677,121,Bandipur,5,"You have to visit this sanctuary...and you need to ensure that you pass by all the waterholes to get the best siting...we were lucky to have spotted a leopard, elephants, deer, woodpecker and the white crested eagle .."
7503731,53783,121,Bandipur,4,"There are comfortable Gypsy, Campers and bus for visiting the Bandipur National Park and Tiger Reserve. They take you on a safari with four time slots, twice in the morning at 6:15 and 8:00 a.m. and twice in the evening at 4:15 and 6:00 p.m...."
2306923,42928,121,Bandipur,5,"Indian Switzerland you can say, Untouched by humans ,green lucrative bed of nature with clean and Hygienic   atmosphere to stay.

You can have feeling to live with Elephants,Peacocks,Deer,Gaur ,Monkeys ,if lucky Tigers also.

Nice place to visit once if you love nature at its best"
8253179,33564,121,Bandipur,4,I went there in may 1st week 2019. Had a bus safari through the tiger park. We can't see any tigers and elephants in that safari. We only saw deers and peacock during 1 hour bus safari. Eventhough we like the trip and stay inside...
3019973,24132,293,Baratang Island,5,The caves are near Baratang.  This is accessible only through a speed boat from Baratang (A&N).  The sea journey in speed boat is really enjoyable since it covers thick mangrove growths on eitherside and narrow waterways amongst these dense Mangrove forest formations. Really eco friendly...
5026622,10677,293,Baratang Island,5,"Lime caves are natural caves made up of lime stone. After reaching baratang island, a speed boat with take you to mangrove forest and then after a walk of 1.5 KM, you will reach this amazing place. The stone of cave is of different color..."
4841971,53783,293,Baratang Island,2,The long journey to baratang that starts at 3 in the mornings is worth the pain of the travel passing the reserved forests of Jarawa tribes on the way the gates of which open only at regulated tons few times a day. The road journey...
3816923,42928,293,Baratang Island,4,Limestone caves have deteriorated and hardly any left to view. The boat ride ad investing 1 complete day is not worth it for the place . Though the mangrove forest boat ride will be good and gazing at the river side you might spot a...
9604345,33564,293,Baratang Island,5,"Awesome experience. Boat ride through dense mangroves on the way to Limestone caves is really, really awesome.

:-)"
8034433,24132,285,Bastar,4,"the palace is known for the royal family of bastar and the history of kings who lived here...

people say that india's freedom fight took birth here when the king of bastar wasn't willing to surrender....

the royal family is very humble and they take..."
9341318,10677,285,Bastar,4,Bastar is one of those places that has not been touched by mainstream tourists due to the threat of Naxals but it is one of the most beautiful place in India. It is soo green that you feel like staying here. The Bastar Palace is...
7948929,53783,285,Bastar,4,The palace of Bastar is still been looked after by Rajmata krishna kumari deviji. The government has not built any monument inside the palace vicinity. It is a request to kindly correct the description given. It is a private property of the ruler and the...
1775675,42928,285,Bastar,2,The temple does not have anthing unique and practically it was a waste of time for me to spend four hours travelling to and back from the location.
2095995,33564,285,Bastar,5,"It is one of the best Waterfall in India. Since it is in Kanger ghati, Route is perfect for Nature Lover, Hill ... Jungle...but No Danger at all. You can take bath in waterfall. I suggest to go just after rainy season. No food and..."
5595603,24132,105,Bekal,5,A nice beach but may not be advisable to swim as it is very rough. The sand area is very wide. The sunset is really lovely scene to witness.
6183218,10677,105,Bekal,3,"visited for early morning sunrise(even though sun rise can't be seen from west), to our disappointment, the place opens after 7:30 am.  
@ 7:30 when we entered, maintenance staff was present.  no one else was present.  went directly to beach.  Beach was good. not a..."
1673682,53783,105,Bekal,4,"Beach now has been well maintained and a park is there for children. Children's have wide variety of games and shorts which attracts good number of families in the weekends. Camel ride , horse ride, Kite flying all add to the reason y you should..."
4914490,42928,105,Bekal,5,"One of the best beach with it's back water, you can spend ur tym... Very neat and clean with some beautiful views...  Best place to enjoy sunset 🌇..."
7741792,33564,105,Bekal,2,"Around 16 km south of Kasaragod in Northern Kerala and on the shores of Arabian sea lies the massive Bekal Fort. It is among the largest forts in Kerala and has been impeccably maintained. Built using laterite slabs and with a polygonal shape, the fort..."
6384701,24132,309,Bengaluru,3,The 1 MG Lido Mall is right next to Trinity Circle at one end of Bangalore's happening destination of MG Road. The mall is decently sized and primarily houses high-end brands. It's not the most eye-catching mall in the city and does not offer much...
8890614,53783,309,Bengaluru,5,Always interesting experience to visit this shopping mall. From architectural point of view it is very confusing (apparently architect students visit as example of how not to construct a mall..) . Good shops and the food court is great (fantastic Indian wines available). Worth visiting...
8976869,33564,309,Bengaluru,3,"If you happen to be putting up at the Radisson Bengaluru City Centre or the Conrad Hotels, this mall is just an 8 to 10 minutes' walk.  Take care if you are walking there as the traffic can be quite chaotic and challenging for pedestrians..."
4503426,10677,309,Bengaluru,4,Relatively small mall. Visited for movie & dining.  Overall average experience. I think bigger & better malls exist in Bangalore.
7079188,42928,309,Bengaluru,4,Good mall in central location. Food hall is particularly worth a visit. Stairs and escalators are a little confusing !!!!
5581355,24132,137,Bhopal,4,an average mall..big bazaar is the biggest attraction here...more than half of people visit this mall mainly to go to big bazaar as there is only one branch in bhopal n its here only...PVR is another attraction here....
8416155,53783,137,Bhopal,2,We went to see movie in 9-40 Am show. But Schedule was changed without any information. Lot of inconvenience was caused to people.
6053292,33564,137,Bhopal,5,"It's fairly good but not as good as I had expected after a long wait. The design is not that lucrative. But yeah, it's kind of okay for one time visit."
9531388,10677,137,Bhopal,5,"I have been seeing Aura Mall being constructed for past 6+ years and happy to see that finally it has opened up for business. it has only dominos,subway and big bazaar as of now but hopefully many more businesses would open up in future including..."
7616793,42928,137,Bhopal,4,Nice place to visit aura mall for shopping in bigbazar and watch movie.pizza corner is also available.
4335830,24132,227,Bhubaneswar,4,"situated close to the lingaraj temple and near the main pond, the temple is worth visiting. could be better conserved though"
8681216,53783,227,Bhubaneswar,5,"oldest temple in the city, a divine place for vaishnavas , we stayed in the temple more that two hours , our darshan was very peaceful and felt happy."
3954490,33564,227,Bhubaneswar,5,"Ananta Vasudeva Temple is dedicated to Lord Krishna. This thirteenth century temple is just at a walking distance from famous Lingraj Temple. We see that there are complete idols of Krishna, Balarama and Subhadra are worshipped there. We also seen that Balarama stands under a..."
4270605,10677,227,Bhubaneswar,4,this is a nice temple whcih is located in near the lake.the road leading to this temple is little narrow..i suggest you take a cab and not take a car..this has nice structure and the architecture is really commendable..the temple is busy with activity and...
8160623,42928,227,Bhubaneswar,3,"A very ancient temple close to Lingraj Temple.
This temple i opposite a big lake, try eating some prasad here very tasty."
7607377,24132,69,Bhuj,5,its nice to see the history of this place. pretty cool things are still present. though the upkeep of the place is not good. it was exceptionally crowded the day we visited on sunday  but it was still good
2758388,10677,69,Bhuj,3,I was surprised to learn that the small structure in front of me was Aina Mahal. Here again we couldn't enter due to chaos all around and unmanageable crowd. No body seemed to be interested in following ques and therefore we decided to stay back...
7086443,53783,69,Bhuj,5,Lots of lovely (sarcasm) dust to look at. It is unbelievable how authorities ignore places like these that could be a major attraction to rot away with no attention
4171724,42928,69,Bhuj,3,We had visited the museum and Aina mahal which are adjoining. Both the places are very poorly maintained. There is dust and the artefacts are just stacked without any explanation
7535613,33564,69,Bhuj,4,"It is a part of Kutch Tour and good to know about the History of ancient Kutch, it's evolution as biggest district of Gujarat."
8360684,24132,120,Bijapur,5,The site has bunch of attractions. The main garden is good. However it does not attract too many tourists.
8019297,10677,120,Bijapur,5,"You will love this place in the lap of nature. It's a dam built across River Krishna where you get to see the beauty created by Mother nature with support from mankind.  There is a rock cut garden which is very beautiful with several rocks,plants,trees,flowers,fountains..."
7346499,53783,120,Bijapur,5,"The dam though not permitted to visit due to security concerns by the army, it has a beautiful rock garden which looks very peaceful and calm. It also has a nice musical fountain. A must visit place"
