City,Rating,Raw_Review
Amarkantak,4,The temple has nothing different except for having a huge shiv ling (11Ft). It is in a remote location about 8 km drive from the main city of Amarkantak
Amarkantak,4,"It is a Shiva temple with easy access to sanctum where a long deity is placed. I visited it in month of Shravan, month which is pious for worshiping Shiva. So it was little crowded. It is noteworthy that replica of all famous Shiva Lingas..."
Amarkantak,3,"this temple is under construction but almost completed. this is a very holy palace because there are 12 jyotirlinga with 11 feet long shiv linga. all 12 jyotirlinga situated separately. 11 feet shiv linga made by a single black stone.you can do ""abhishek"" by upper..."
Amravati,5,When in Amravati one should make a point to visit this place. The place remains closed on public holidays and during festival period. So one should make sure before going to this place as its little away from Amravati. The forest department has created wonders...
Amravati,5,"Its a very good place to take your family, nicely done garden, mostly using bamboo. All the playing activity are made of bamboo, which makes everyone tempted to try, no matter what you age. there is a cactus garden at the end of the  garden...."
Amravati,5,It's a unique and beautiful place for weekend short trip.There are various types of bamboo trees and things made from bamboo. There is also a beautiful cactus garden.
Amravati,4,"It's the unique type garden devp.by forest department to educate the people,the importance of use of various species of bamboo.
Also visit Cactus Garden one of its kind."
Amravati,5,"If you are in Amravati and looking to hangout with friends for couple of hours, this place can be a good option.
Can be improved a lot on commercial basis."
Amritsar,4,This is the Temporal Seat of the Sikh faith.Has a long history behind it.Located adjacent to the Sri Harminder Sahib ji.
Amritsar,5,"Just opposite the golden temple, I found this was the best place to sit in peace and was more space available earlier in the morning, very peaceful and respected place, open all day everyday with regular prayers and singing, must visit, beautiful building and interior,..."
Amritsar,5,"Akal Takhth is - Timeless Throne.

It is a 5 storied building that is directly opposite to the entrance of Harmandir sahib/Golden Temple. 

It is one of the 5 Supreme Takhts of Sikhs. The building is beautifully made,

The stone of this building was laid..."
Amritsar,5,"Blessed Very nice, & Relaxing feeling. Landed at Amritsar at 22.00pm. Stayed at hotel.
Next day 04.00am visited Golden Temple  & Anandpur Sahib by hotel car. Back to hotel.
Day-3 early start at 04.00am Car hire from online search to Damdama Sahib & drop off..."
Amritsar,5,I visited Akal Takht on 27th March 2019 evening. Really feeling blessed. The place is so peaceful and so beautiful can't be described in writing. Must see the place
Anantapur,4,"Eye catching temple is just on the side of N H 7 near Ananthpura, Huge horses in front of the temple gives it a look of chariot of sun. The well-landscaped gardens makes it even more attractive . Must visit place if you are travelling..."
Anantapur,5,It is the beautiful temple in the city anantapur.this temple is nice for couples and friends.inside the temple peaceful environment and everyone spend in that temple for an hour.so everyone must see the temple.
Anantapur,5,I have visited this temple many times with my family and friends... Really amazing and beautiful place in Anantapuramu. Really very good place to visit in Anantapur..  Should not miss it..
Anantapur,5,"Nice lighting and magnificent looking while lit up. Not really great to visit during day time.

As with ISKCON, quite a structure and for a place like Anantapur easily this is the largest place of worship.

Adjacent to Hyderabad-Bangalore highway, this is bit away from..."
Anantapur,4,Recently went to temple with Family and the atmosphere was very pleasant.If you are on the Bangalore-Hyderabad highway means you can stop here and get some refreshment and spiritual feel.
Anantnag,5,"Shree Amarnathjee Yatra 
Going for the Yatra itself, was so exciting and nothing else other than taking warm clothes and going there crossed the mind, 
 
I had an excellent Darshan which will remain memorable for life long, 
 
The ice Lingams were fascinating and Shivling was..."
Anantnag,4,"words are not enough for this yatra, once in lifetime, we must must go to this divine place.
4 days are minimum for this yatra"
Anantnag,4,I visited Amaranth 2 times .in 2016 and also in 2017.I trekked through both routes like via pehalgam and baltal
Anantnag,3,"For notifications: start looking from february.
Release of dates, doctors list: march
Mandatory documents: medical certificate, permit from bank mentioned in the publication, either for pahlgam or baltal.

If you dont have medical certificate then you can go to hospital in srinagar near budgam railway..."
Anantnag,5,"Very divine place , it’s heaven on earth ...
Lush green hills .. snow covered mountains and splashing falls crystal clear river water fresh air touch the heart"
Auli,5,"This was kind of first meadow I have been to... We trekked for an Km approximately... Place was beautiful but the best part was the tinkling sound of bells which were tied to cows and horses neck

Though it was just an hour trek we..."
Auli,2,"We started from Haridwar & took government bus till Joshimath. We reached bus stand at around 5AM & bus started at around 6.30. Reach early to get a sit. Otherwise, it would be tough to complete 11-12 hours journey.

After Srinagar, road was pathetic &..."
Auli,5,It is a must do trek for people visiting this area. We came here for valley of flowers and added this trek as a part of trip. Nice green meadows with beautiful clouds.
Auli,4,Visited in June.area full of flowers n covered with green carpet surrounded by lush green forest.1hr trek easy but beautiful.small forest area on the way initially w afraid of animal as v r alone r by mistake taken another rout but ringing bells from temple...
Auli,5,We trekked to Gorson Bugyal during our stay at Auli. It's a easy treks and offers a fabulous view. You will take an hour to reach there and will get a fabulous view of mountain tops. Worth the hike
Joshimath,4,Awsome museum to visit with your family. It gives a glimpse of your past history. Not a popular tourist destination but was fun to visit.
Joshimath,5,"The museum give a glimpse into the past of the culturally rich Bhotiyas of Indo -Tibetan border region. It is astonishing to see the instruments used for weaving carpets, how beautiful, colorful designs are woven. The old plough and other handmade instruments and equipment used..."
Joshimath,3,I visited this place solo and it was not bad to visit. Best thing was it was not the main tourist destination so the crowd was very less.
Joshimath,5,I visited this place and found it fine. There were not many tourists so it was good. Could be better.
Joshimath,5,it was amazing ride..had a great view from the top..had also done the chair car..it was fun get n this gandola
Aurangabad,4,it is last stay of a great king of India. He lived simple life and you also see the reflaction in his dargah.
Aurangabad,4,"Its said that amongst all Mughal emporers, Aurangzeb was the one who believed in simplicity and was not keen on emptying state coffers for creating grand structures. His tomb epitomises his beliefs. As per his wish his tomb lies like one of a poor man..."
Aurangabad,4,i visited the dargah 3 times in two years.very nice place to go and do some prayers.So many foreign tourists are also coming here to visit the dargah.
Aurangabad,4,"Quite unlike the other mughal emperors, Aurangzeb's tomb is simple, open to sky and austere. The lattice works were later added by Clive and goes well with the surroundings. There are people who explained to us the significance of the place. Quite liked it."
Aurangabad,5,I really liked the way they have maintained this place. The people there were very friendly and guided us around. Each of them were very narrative in telling us the story. Many people's wishes have come true here
Auroville,2,"Curiosity brought us to Auroville, but didn't know what to do or see here. The Visitor's Centre is invaluable from that perspective, as in it gives you the complete low-down on Auroville and what makes the place tick.
The staff at the centre are very..."
Auroville,4,"The shops selling Handicrafts and Auroville souvenirs are super expensive ( more than twice what is a normal high price ) . There are thousands of Indian customers who simply browse without buying . They should try lowering prices , with higher volumes . Unless..."
Auroville,3,This is where all the visitors who are not residents need to go. This is the starting point where there are video sessions and gallery to inform you about the purpose and mission of Auroville and The Matri Mandir. It is also the place where...
Auroville,5,Me and Mom went to visit Matri Mandir and the first line of support at Auroville were the front help desk. The lady was very sensitive about my Mom's age and was repeatedly asking if she needs a shuttle service. This was a very good...
Auroville,3,You need to come here and enter Auroville further.. for Matrimandir take a slip and see the view by walking 3 kms.. it is a waste of time. I do not see any value
Ayodhya,4,A very peaceful and well maintained temple in Ayodhya. It is said that Mata Kakai gifted this palace to Ramji and Sitaji as muhdikhai after there marriage. One can see wide walls and historical chitarkari and wall paints.
Ayodhya,4,This is a very well maintained and peaceful temple. We went there with our family and friends and its was a unforgettable experience.
Ayodhya,5,"It was the only attraction which you can say was worth visiting Ayodhya after a dip on divine river Sarayu. Old architecture, clean, well managed but the way to it needs improvement."
Ayodhya,5,"It was a best place in Ayodhya. Very peaceful and no queue and no beggers. Deities were so beautifully dressed, hard to blink. The palace was gifted to Sitamata by kaikeyimata. It was originally made of gold thats why it was named KANAK BHAVAN."
Ayodhya,4,This mythological temple is very famous among locals & one of the best temple to visit in Ayodhya. It is said that Mother Kaikayi (Mother of Shri Ram Prabhu) had gifted this place to her Daughter In-law (Maa Sita).
Badami,3,The lake is quiet and located close to Badami town center. You can go around the lake and visit Bhutnath temple. Not the cleanest of lakes but relatively well maintained. You can visit lake around sunrise/sunset
Badami,4,"Lake near to Badami caves.
The view of the lake and surrounding temples is beautiful from  3rd and 4th cave."
Badami,3,"This is a big lake being surrounded by hills, Badami Fort,  Bhuthanath temple and rock caves . All these are situated at the periphery of the lake. The lake is bit dried up at the moment as its peak summer season. Only the part of..."
Badami,3,The lake is an important point of interest in Badami. The approach to the lake is through narrow lanes (beware the kids). One has to park near the main road or at the entry to the cave temples (advisable as it is a proper pay...
Badami,4,"It is blend of green water, light brown rock... 360 degree panaromic view... whoever interested in landscape photography... this is the site for you"
Badrinath,4,Bheem Pul is situated at the last portion of Mana village where water is coming out gorgeously. The place is just on walking (slightly ups and downs). Surroundings are only Himalayas and clouds.
Badrinath,3,Must visit place.no fee.acc to Mahabharata story during journey to swarg Bheem made this stone bridge for Draupadi.roaring sound of saraswati can be hear n felt
Badrinath,4,There is a story in Mahabharata that at the end of the life Pandavas wanted to find a path to go to heaven so they came to Badrinath and from there proceeded to find the way on the way they could not cross the river...
Badrinath,3,Situated 1 KM from MANA village Mana village is 3 KM from badrinath thereafter need to track almost 1 km. It's the way on which 5 Pandav moved in search of heaven and it is said that lost their life in a span of 15...
Badrinath,3,"Visited this place after finishing my Chardham yathra. It's located in mana, the last village of India"
Balasore,4,Virgin mangrove forest and confluence of subarnarekha river surfing with speed boat. In this 1 hour journey you can go through rich flora and fauna and also may locate some rare species. And you can see confluence of subarnarekha river with bay of bengal. But...
Balasore,5,"Exactly what we said was RELAXING. We went just to relax ourselves from our day to day activity. We loved the silent evening of the village, the roaring sound of the sea (though sea plays hide and seek) and the cool gush of wind releasing..."
Balasore,5,In summer Chandipur beach is perfect place to spend time with friends and family members in evening.
Balasore,4,Its a flat mud plain where the sea receed up to 3 kms inwards during lowtide and another 3 kms forwards during high tide. Wonderful to have a stroll on the mud flat during low tide. The ground is so compacted you can walk without...
Balasore,5,"The beach is very good for the travelers who like less crowded places, though the  mesmerizing beauty of  sea waves are absent. Long  morning and evening walk  in search of sea with few numbers of fellow traveler can provide you the refreshing memories."
Bandipur,3,"We visited Bandipur twice. In total, we went on two bus safaris and two Jeep safaris. 
On the whole we spotted Eagles, Woodpeckers, Peacocks, Owls, Bee-eaters, Deer, Sambars, Langurs, Boar, Elephants, Gaurs, a monitor lizard, a tigress with cubs (from very very far away), a..."
Bandipur,5,"You have to visit this sanctuary...and you need to ensure that you pass by all the waterholes to get the best siting...we were lucky to have spotted a leopard, elephants, deer, woodpecker and the white crested eagle .."
Bandipur,4,"There are comfortable Gypsy, Campers and bus for visiting the Bandipur National Park and Tiger Reserve. They take you on a safari with four time slots, twice in the morning at 6:15 and 8:00 a.m. and twice in the evening at 4:15 and 6:00 p.m...."
Bandipur,5,"Indian Switzerland you can say, Untouched by humans ,green lucrative bed of nature with clean and Hygienic   atmosphere to stay.

You can have feeling to live with Elephants,Peacocks,Deer,Gaur ,Monkeys ,if lucky Tigers also.

Nice place to visit once if you love nature at its best"
Bandipur,4,I went there in may 1st week 2019. Had a bus safari through the tiger park. We can't see any tigers and elephants in that safari. We only saw deers and peacock during 1 hour bus safari. Eventhough we like the trip and stay inside...
Baratang Island,5,The caves are near Baratang.  This is accessible only through a speed boat from Baratang (A&N).  The sea journey in speed boat is really enjoyable since it covers thick mangrove growths on eitherside and narrow waterways amongst these dense Mangrove forest formations. Really eco friendly...
Baratang Island,5,"Lime caves are natural caves made up of lime stone. After reaching baratang island, a speed boat with take you to mangrove forest and then after a walk of 1.5 KM, you will reach this amazing place. The stone of cave is of different color..."
Baratang Island,2,The long journey to baratang that starts at 3 in the mornings is worth the pain of the travel passing the reserved forests of Jarawa tribes on the way the gates of which open only at regulated tons few times a day. The road journey...
Baratang Island,4,Limestone caves have deteriorated and hardly any left to view. The boat ride ad investing 1 complete day is not worth it for the place . Though the mangrove forest boat ride will be good and gazing at the river side you might spot a...
Baratang Island,5,"Awesome experience. Boat ride through dense mangroves on the way to Limestone caves is really, really awesome.

:-)"
Bastar,4,"the palace is known for the royal family of bastar and the history of kings who lived here...

people say that india's freedom fight took birth here when the king of bastar wasn't willing to surrender....

the royal family is very humble and they take..."
Bastar,4,Bastar is one of those places that has not been touched by mainstream tourists due to the threat of Naxals but it is one of the most beautiful place in India. It is soo green that you feel like staying here. The Bastar Palace is...
Bastar,4,The palace of Bastar is still been looked after by Rajmata krishna kumari deviji. The government has not built any monument inside the palace vicinity. It is a request to kindly correct the description given. It is a private property of the ruler and the...
Bastar,2,The temple does not have anthing unique and practically it was a waste of time for me to spend four hours travelling to and back from the location.
Bastar,5,"It is one of the best Waterfall in India. Since it is in Kanger ghati, Route is perfect for Nature Lover, Hill ... Jungle...but No Danger at all. You can take bath in waterfall. I suggest to go just after rainy season. No food and..."
Bekal,5,A nice beach but may not be advisable to swim as it is very rough. The sand area is very wide. The sunset is really lovely scene to witness.
Bekal,3,"visited for early morning sunrise(even though sun rise can't be seen from west), to our disappointment, the place opens after 7:30 am.  
@ 7:30 when we entered, maintenance staff was present.  no one else was present.  went directly to beach.  Beach was good. not a..."
Bekal,4,"Beach now has been well maintained and a park is there for children. Children's have wide variety of games and shorts which attracts good number of families in the weekends. Camel ride , horse ride, Kite flying all add to the reason y you should..."
Bekal,5,"One of the best beach with it's back water, you can spend ur tym... Very neat and clean with some beautiful views...  Best place to enjoy sunset 🌇..."
Bekal,2,"Around 16 km south of Kasaragod in Northern Kerala and on the shores of Arabian sea lies the massive Bekal Fort. It is among the largest forts in Kerala and has been impeccably maintained. Built using laterite slabs and with a polygonal shape, the fort..."
Bengaluru,3,The 1 MG Lido Mall is right next to Trinity Circle at one end of Bangalore's happening destination of MG Road. The mall is decently sized and primarily houses high-end brands. It's not the most eye-catching mall in the city and does not offer much...
Bengaluru,5,Always interesting experience to visit this shopping mall. From architectural point of view it is very confusing (apparently architect students visit as example of how not to construct a mall..) . Good shops and the food court is great (fantastic Indian wines available). Worth visiting...
Bengaluru,3,"If you happen to be putting up at the Radisson Bengaluru City Centre or the Conrad Hotels, this mall is just an 8 to 10 minutes' walk.  Take care if you are walking there as the traffic can be quite chaotic and challenging for pedestrians..."
Bengaluru,4,Relatively small mall. Visited for movie & dining.  Overall average experience. I think bigger & better malls exist in Bangalore.
Bengaluru,4,Good mall in central location. Food hall is particularly worth a visit. Stairs and escalators are a little confusing !!!!
Bhopal,4,an average mall..big bazaar is the biggest attraction here...more than half of people visit this mall mainly to go to big bazaar as there is only one branch in bhopal n its here only...PVR is another attraction here....
Bhopal,2,We went to see movie in 9-40 Am show. But Schedule was changed without any information. Lot of inconvenience was caused to people.
Bhopal,5,"It's fairly good but not as good as I had expected after a long wait. The design is not that lucrative. But yeah, it's kind of okay for one time visit."
Bhopal,5,"I have been seeing Aura Mall being constructed for past 6+ years and happy to see that finally it has opened up for business. it has only dominos,subway and big bazaar as of now but hopefully many more businesses would open up in future including..."
Bhopal,4,Nice place to visit aura mall for shopping in bigbazar and watch movie.pizza corner is also available.
Bhubaneswar,4,"situated close to the lingaraj temple and near the main pond, the temple is worth visiting. could be better conserved though"
Bhubaneswar,5,"oldest temple in the city, a divine place for vaishnavas , we stayed in the temple more that two hours , our darshan was very peaceful and felt happy."
Bhubaneswar,5,"Ananta Vasudeva Temple is dedicated to Lord Krishna. This thirteenth century temple is just at a walking distance from famous Lingraj Temple. We see that there are complete idols of Krishna, Balarama and Subhadra are worshipped there. We also seen that Balarama stands under a..."
Bhubaneswar,4,this is a nice temple whcih is located in near the lake.the road leading to this temple is little narrow..i suggest you take a cab and not take a car..this has nice structure and the architecture is really commendable..the temple is busy with activity and...
Bhubaneswar,3,"A very ancient temple close to Lingraj Temple.
This temple i opposite a big lake, try eating some prasad here very tasty."
Bhuj,5,its nice to see the history of this place. pretty cool things are still present. though the upkeep of the place is not good. it was exceptionally crowded the day we visited on sunday  but it was still good
Bhuj,3,I was surprised to learn that the small structure in front of me was Aina Mahal. Here again we couldn't enter due to chaos all around and unmanageable crowd. No body seemed to be interested in following ques and therefore we decided to stay back...
Bhuj,5,Lots of lovely (sarcasm) dust to look at. It is unbelievable how authorities ignore places like these that could be a major attraction to rot away with no attention
Bhuj,3,We had visited the museum and Aina mahal which are adjoining. Both the places are very poorly maintained. There is dust and the artefacts are just stacked without any explanation
Bhuj,4,"It is a part of Kutch Tour and good to know about the History of ancient Kutch, it's evolution as biggest district of Gujarat."
Bijapur,5,The site has bunch of attractions. The main garden is good. However it does not attract too many tourists.
Bijapur,5,"You will love this place in the lap of nature. It's a dam built across River Krishna where you get to see the beauty created by Mother nature with support from mankind.  There is a rock cut garden which is very beautiful with several rocks,plants,trees,flowers,fountains..."
Bijapur,5,"The dam though not permitted to visit due to security concerns by the army, it has a beautiful rock garden which looks very peaceful and calm. It also has a nice musical fountain. A must visit place"
Bijapur,3,"One of the big size dam, well maintained gardens, Mughal style garden with musical fountain from 730 pm. Worth visiting if you are around Bagalkote, Badami."
Bijapur,4,Almatti Dam built on River Krishna is one of the most beautiful place to visit close to Bijapur.  It is about 65 kilometres away from Bijapur town.  There are seven terrace gardens built into tourist spots near by the dam.  The rock garden is very...
Bikaner,3,The Acharya Tulsi Samadhi has been constructed as a memorial to the famous Jain Acharya Tulsi. The premises are maintained very well and there is also a small museum here showcasing the history and origin of Jainism in India.
Bikaner,3,Very well made and you know the history of Acharya Tusli (JAIN SAMAJ). you can sit and mediate at this place for some time.
Bikaner,4,"Famous Jain Saint Acharya Tulsi is died here..in memory of him ..his followers created such a nice place,which is called samadhi..best place to meditate and introspect..small museum and library will give you more about Jainism..This place is in suburbs of Bikaner.."
Bikaner,3,All follower and fans of Acharya Tulsiji want to inform you that I have 5.Rs coin on which his photo is there u can see in image and if u wanna buy then call me at 9137032743.
Bikaner,5,This is a quiet and serene memorial in the memory of Acharya Tulsi of the Terapanth Jain sect. You can visit this place for inner peace..
Bodh Gaya,5,"Buddha  spent  51 days after the supreme spiritual wisdom of Nirvana,ONE OF THE PRINCIPLE WHICH BUDDHISM SIGNIFIES.The place is a must see for Buddhist and Believers.
this is a holy place and worth worshiping."
Bodh Gaya,5,"This place is important to Buddhists, it brought back all what we knew about Buddhism, when you come to Bodhgaya this place too is worshipped as it signifies the seven weeks Lord Buddha spent expeincing the bliss of ""Nirvana"""
Bodh Gaya,4,"This is samll temple located on the right hand side to the main temple as you enter the temple campus. This is the place where Budha, after his enlighenment, is supposed to have sat down and gazed the place and tree without blinking for days..."
Bodh Gaya,4,"This place too is important to all Buddhists, its well maintained.A must see for all Buddhists.this is my second visit, hoping I will be able to come again as soon as possible."
Bodh Gaya,5,"A interesting place to visit if you are in Bodhgaya. Not Allow to take pictures inside. The collection is not large, but quite special."
Bolpur,4,Nice for an outing on a sunny winter afternoon. Vendors offer interesting items to savor. Quality of handicrafts being sold is of a lower category. The folk dancers were a bit too synthetic with plastic flowers and plastic musical instruments.
Bolpur,4,Its one of the most attractive weekend spot near Shantiniketan. All local made handcrafts are available here. Now a days it starts at 2 PM and continue till evening.
Bolpur,4,"YOU CAN EXPERIENCE ABOUT TRIBAL LIFE.YOU WILL BE MIND FRESH FOR SOMETIMES.YOU CAN ALSO PARTICIPATE WITH THEM.WE WENT TO VISIT THE KHOAI MELA WITH OUR FIVE FAMILY MEMBERS.IT IS SUITABLE FOR THREE OR FOUR DAYS PROGRAMME. you are in Santiniketan on a Saturday, you cannot..."
Bolpur,4,"The river is famous. One can see it near a temple in Shantiniketan, flowing by. However, the river does not have much water in it. Its nearly dry. 
This mela takes place near the river, of the Bauls and Santhals singing and dancing and celebrating..."
Bolpur,5,"If you are in Santiniketan on a Saturday, you cannot afford to miss the Sanibarer Hat or Sonajhuri Hat. Hundreds of artisans selling their hand-made stuff near the Sonajhuri forest, is an absolute delight to watch. You can buy Khesh/Kantha stich/Handloom sarees, dress materials, hand-made..."
